"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","4764","麗晶大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","TAO","青島(チンタオ)","5502","黄海飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","XMN","厦門(アモイ)","11449","厦門喜来登酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","XMN","厦門(アモイ)","11450","厦門索菲特大酒店(ｿﾌｨﾃﾙﾌﾟﾗｻﾞ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","CN","中国","XMN","厦門(アモイ)","X0054","厦門海景千禧大酒店（旧CROWNE PLAZA）"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","HK","香港","HKG","香港","1472","ｼｪﾗﾄﾝ ﾎﾝｺﾝ ﾎﾃﾙ & ﾀﾜｰｽﾞ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","HK","香港","HKG","香港","2853","ザ ペニンシュラ 香港"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","HK","香港","HKG","香港","4221","グアンドン ホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KH","カンボジア","REP","シェムリアップ","3646","ヴィクトリア アンコール"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","CJU","済州島（チェジュド）","2521","済州オリエンタル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","CJU","済州島（チェジュド）","2523","ホテルロッテ済州"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","CJU","済州島（チェジュド）","3803","済州グランド"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","CJU","済州島（チェジュド）","5234","済州新羅"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","10615","世宗ホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","10629","プリンス"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","10633","サボイホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","1781","ソウル プラザ ホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","2661","ロッテホテル ソウル ［新館］"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","3300","ロイヤルホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","3988","ミレニアムソウルヒルトン"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","6250","コリアナ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","S0002","サマー セット パレス ソウル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","S0077","ﾍﾞｽﾄｳｴｽﾀﾝ ﾌﾟﾚﾐｱ 國都ﾎﾃﾙ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","KR","韓国","SEL","ソウル","S0093","ラマダホテル＆スイート"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","1084","喜来登大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","2710","台北華国大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","3355","台北凱撤大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","3356","香格里拉遠東国際大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","3358","華泰王子大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4050","台北西華飯店(ｼｬｰｳｯﾄﾞ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4775","台北君悦大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4776","福華大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4778","老爺大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4779","國賓大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","4784","兄弟大飯店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0004","亞太会館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0017","晶華酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0018","美麗信花園酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0023","台北王朝大酒店"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0037","六福皇宮（ウエスティン台北）"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0044","城市商旅 [シティースィーツ]"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","AAS","アジア","TW","台湾","TPE","台北","T0113","台北商旅慶城館"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","ES","スペイン","GRX","グラナダ","2320","パラドール デ グラナダ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","1755","ミスター ベッド シティ バニョレ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","2627","ｵｰﾙｼｰｽﾞﾝｽﾞ ﾍﾞﾙｼｰ(旧ﾒﾙｷｭｰﾙ ﾊﾟﾘ ﾍﾞﾙｼｰ)"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","3616","メルキュール モンマルトル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","5378","クイーン マリー"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","9118","ホテル ド クリヨン"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","9122","ブリストル パリ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","9126","リッツ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","9127","アストラ オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0031","ｳｴｽﾃｨﾝ ﾊﾟﾘ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0037","ｼﾀﾃﾞｨﾝﾇ ｻﾝ ｼﾞｪﾙﾏﾝ ﾃﾞ ﾌﾟﾚ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0039","ダヌ オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0049","ノルマンディ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0051","パルモン オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0053","プラザ エトワール"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0055","ヘリオス オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0056","ベルジェール オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0057","マルテ オペラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0242","ビクトリア"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0263","タマリス"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0310","ｱﾀﾞｰｼﾞｵ ｼﾃｨ ｱﾊﾟｰﾄﾎﾃﾙ ﾍﾞﾙｼｰ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0311","ｱﾀﾞｼﾞｵ ｼﾃｨ ｱﾊﾟｰﾄﾎﾃﾙ ﾓﾝﾏﾙﾄﾙ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0312","ｱﾀﾞｼﾞｵ ｼﾃｨ ｱﾊﾟｰﾄﾎﾃﾙ ﾄｩｰﾙ ｴｯﾌｪﾙ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","PAR","パリ","P0314","ｱﾀﾞｼﾞｵ ｼﾃｨ ｱﾊﾟｰﾄﾎﾃﾙ ｵｽﾏﾝ ｼｬﾝｾﾞﾘｾﾞ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","ZMS","モンサンミッシェル","4097","ルレ サン ミッシェル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","FR","フランス","ZMS","モンサンミッシェル","4853","テラス プラール"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","GB","イギリス","LON","ロンドン","4612","セントラル パーク"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","PT","ポルトガル","492","ブサコ","4866","ブサコ パレス"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","BEU","ヨーロッパ","PT","ポルトガル","OPO","ポルト","P0376","ティアラ パーク アトランティック ポルト"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0333","ワン アンド オンリー ル サンジュラン"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0334","ル・ビクトリア"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0335","パラダイスホテル アンド ゴルフクラブ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0336","ディナロビンホテル ゴルフ アンド スパ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0337","ロイヤル パーム"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0338","ボーリ　バジュー"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0340","サンドラニ リゾート ＆ スパ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","MU","モーリシャス","MRU","モーリシャス","M0360","ﾌｫｰｼｰｽﾞﾝｽﾞﾘｿﾞｰﾄﾓｰﾘｼｬｽｱｯﾄｱﾅﾋﾀ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","TZ","タンザニア","ARK","アリューシャ","A0040","インパラホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","TZ","タンザニア","DAR","ダル エス サラーム","D0183","ピーコック　ホテル　シティーセンター"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","TZ","タンザニア","M01","マニャーラ","M0329","レイク マニャアラ セレナ サファリロッジ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","TZ","タンザニア","N02","ンゴロンゴロ","N0179","ンゴロンゴロ セレナ サファリロッジ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CAF","アフリカ","TZ","タンザニア","ZNZ","ザンジバル","Z0780","ザンジバル セレレナ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0030","ワン＆オンリー ロイヤル ミラージュ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0031","ザ リッツカールトン ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0033","ｸﾞﾛﾌﾞﾅｰ ﾊｳｽ ｳｴｽﾄ ﾏﾘｰﾅﾋﾞｰﾁ ﾄﾞﾊﾞｲ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0034","ジュメイラ ビーチホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0035","アル カサル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0036","ミナ アッサラーム"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0037","ダル アル マシャフ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0038","パーク ハイアット ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0039","ｹﾝﾋﾟﾝｽｷｰ ﾎﾃﾙ ﾓｰﾙ ｵﾌﾞ ｼﾞ ｴﾐﾚｰﾂ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0040","グランド ハイアット ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0041","ｼｪﾗﾄﾝ ﾄﾞﾊﾞｲｸﾘｰｸ ﾎﾃﾙ&ﾀﾜｰｽﾞ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0046","ﾋﾙﾄﾝ ﾄﾞﾊﾞｲ ｼﾞｭﾒｲﾗビーチ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0047","トレーダースホテル ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0054","ジュメイラ バージ アル アラブ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0056","リビエラ ホテル"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0058","フローラ グランド"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0117","メトロポリタン パレス"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0162","ハイアット リージェンシー ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0164","ラッフルズ ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0165","ザ パレス ザ オールド タウン"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0166","ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ ﾄﾞﾊﾞｲ ﾌｪｽﾃｨﾊﾞﾙｼﾃｨｰ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0168","ﾙ ﾒﾘﾃﾞｨｱﾝ ﾐﾅｾﾔﾋ ﾋﾞｰﾁﾘｿﾞｰﾄ&ﾏﾘｰﾅ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0169","ｼｪﾗﾄﾝ ｼﾞｭﾒｲﾗ ﾋﾞｰﾁ ﾘｿﾞｰﾄ&ﾀﾜｰｽﾞ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0170","ｳェｽﾃｨﾝ ﾄﾞﾊﾞｲ ﾐﾅｾﾔﾋﾋﾞｰﾁ　ﾘｿﾞｰﾄ&ﾏﾘｰﾅ
"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0171","アトランティス ザ パーム"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","CHT","中近東","AE","アラブ首長国連邦","DXB","ドバイ","D0201","クラウン プラザ ホテル ドバイ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","DNU","北米","US","アメリカ合衆国","WAS","ワシントンD.C.","X54489","ホテル指定無し"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","ESU","中南米","PE","ペルー","ICX","イカ","X50227","ホテル指定無し"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","ESU","中南米","PE","ペルー","LIM","リマ","1928","シェラトンリマホテル&コンベンション"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","ILP","イルデパン島","I0007","ル メリディアン イル デ パン"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","ILP","イルデパン島","I0029","ク ブニー"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","MIT","メトル島","M0047","エスカペード アイランド リゾート"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","NOU","ヌーメア","3600","ル サーフ ホテル ヌメア"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","NOU","ヌーメア","N0007","ラマダ プラザ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","NOU","ヌーメア","N0013","ﾇﾊﾞﾀ ﾊﾟｰｸ ﾎﾃﾙ ｺﾝﾌﾟﾚｯｸｽ（旧NCﾇﾊﾞﾀﾊﾟｰｸ）"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","NOU","ヌーメア","N0014","ル メリディアン ヌーメア"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","NOU","ヌーメア","N0096","ラ プロムナード"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NC","ニューカレドニア","UVE","ウベア島","O0007","パラディ ド ウベア"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NZ","ニュージーランド","MON","マウントクック","1245","ｻﾞﾊﾐﾃｰｼﾞﾎﾃﾙ[部屋指定なし]"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","NZ","ニュージーランド","WKA","ワナカ","X54531","ホテル指定無し"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","PF","タヒチ","BOB","ボラボラ島","B0011","ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ ﾘｿﾞｰﾄ&ﾀﾗｿ ｽﾊﾟ ﾎﾞﾗﾎﾞﾗ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","PF","タヒチ","BOB","ボラボラ島","B0012","ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ ﾙ ﾓｱﾅ ﾘｿﾞｰﾄ ﾎﾞﾗﾎﾞﾗ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","PF","タヒチ","BOB","ボラボラ島","B0013","セントレジス リゾート ボラボラ"
"001","東京","HTE","阪急交通社　e-very東京センター（海外ツアー）","FOC","オセアニア","PF","タヒチ","BOB","ボラボラ島","B0014","ソフィテル モツ ボラボラ"
